,ProbabilityOfReturningToNest,ProbabilityOfSwitchingToSearching,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfPheromoneDecay,RateOfSiteFidelity,UninformedSearchVariation,fitness,fitnessScore,trialId
3106,0.000292174741543,0.702723501127,0.782553620407,3.90487379175,10524.680078,2.8564305762,1.8726340826499999,0.7973958333329999,0.7973958333329999,3107
4346,0.00029916019131700003,0.688964227985,1.32513459499,3.87709557134,9694.49126199,3.04202954699,2.20804830168,0.795833333333,0.795833333333,4347
3529,0.000288637668984,0.7028857049580001,1.0226848014299998,3.90449254555,10521.8423783,2.8600213004799997,1.87562346408,0.79453125,0.79453125,3530
3921,0.000292153921166,0.702719877465,0.781119345989,3.904955072,10524.697494,2.8564474072099997,1.87237258972,0.7911458333329999,0.7911458333329999,3922
1700,0.000292457193247,0.692588036333,1.4557758213299998,3.9459332145599997,9474.72118599,2.9626000611000003,2.23545191856,0.788671875,0.788671875,1701
2269,0.000286574521569,0.6897437087,1.27384697692,4.005296732440001,9842.6129862,3.17981705717,2.0941019151,0.788671875,0.788671875,2270
4526,0.00028962022522500004,0.7028396324320001,0.955574945526,3.9045986267900004,10522.5460394,2.8590240222600003,1.8747914064900002,0.78828125,0.78828125,4527
3590,0.000281804475497,0.690515855099,0.7258941247740001,3.9232942744699995,10773.5257302,2.86749243213,1.8780415633,0.7875,0.7875,3591
3792,0.000292245248327,0.702727781601,0.784181398862,3.90483298944,10524.6919628,2.85638280796,1.8727688420599997,0.786848958333,0.786848958333,3793
2936,0.000286890791061,0.6868217231470001,0.606246477475,4.00868505742,9807.198186799998,3.2185286784200002,2.12727530515,0.786197916667,0.786197916667,2937
2092,0.00029209157466199997,0.686385320873,0.41032152488300005,4.11758684521,12454.8691682,2.67882504797,1.4097064364899998,0.7859375,0.7859375,2093
3288,0.00032152410197,0.684876792222,0.289495579327,3.6371530627099995,10951.9420826,3.2322666046900004,1.91318039229,0.784375,0.784375,3289
2751,0.000286174081286,0.7003348774220001,0.40483705918799995,3.8968823420699996,9279.3162806,3.27574096847,2.18194125366,0.784244791667,0.784244791667,2752
4623,0.000286207413333,0.6865055170550001,1.316290424,4.02551823361,9685.71891167,3.2542922887700003,2.14215870249,0.784114583333,0.784114583333,4624
1560,0.0002829114086509999,0.690717517187,0.802222449711,3.9257407048300004,10633.420546,2.8778688630500002,1.9166897474000002,0.784114583333,0.784114583333,1561
3546,0.000287910846092,0.7042645501379999,1.07130333956,3.91693709984,10574.3478003,2.85431198222,1.86837341612,0.78359375,0.78359375,3547
3543,0.000360198643478,0.6596624566170001,0.406916151372,3.2883070016400002,11580.424934100001,3.7147501872300004,1.96154547875,0.782291666667,0.782291666667,3544
1284,0.00029728739659900003,0.689143926408,0.617932194045,4.07032003763,11029.259591299999,2.7090623598500003,1.9399567595400002,0.78203125,0.78203125,1285
4405,0.000291678071335,0.702580980595,0.786359753671,3.9051500134199997,10524.944325700002,2.85538666338,1.8746193228599999,0.7817708333329999,0.7817708333329999,4406
3027,0.00029313856853500003,0.6807453721760001,0.300027076542,4.13928160036,8516.69542,3.75085695851,2.45629995295,0.7811197916670001,0.7811197916670001,3028
4400,0.000286327263422,0.7091083027580001,1.32173122047,3.9000961381300003,10635.0572192,2.81326782321,1.82274800562,0.780859375,0.780859375,4401
1684,0.000282891647142,0.690711138565,0.802254651655,3.9250914318800003,10633.2369365,2.87779032571,1.9166697057599997,0.780338541667,0.780338541667,1685
4763,0.000315830331575,0.70089923689,0.624984293001,3.9823711752099995,10216.2052676,3.2351270249799997,2.31822832857,0.780078125,0.780078125,4764
919,0.000292303963939,0.689624780633,0.957107316046,4.0281093817,10900.7355029,2.82668330042,1.8405350569699999,0.778645833333,0.778645833333,920
3397,0.000288150844771,0.703648154648,1.09159938921,3.9184677856800003,10516.299234,2.86002843874,1.88775124903,0.778125,0.778125,3398
3687,0.00030565640218,0.707640052535,0.22963509859200001,3.925348332,10354.7238682,2.99271689997,2.02415023346,0.778125,0.778125,3688
4422,0.000260511062425,0.607991505881,0.313087577113,4.18737772684,9175.33479936,3.8210428260800002,2.5851764385599996,0.7778645833329999,0.7778645833329999,4423
4754,0.000283121383144,0.718103003098,0.650245188425,3.8830948394,11857.0340523,2.7272372527399997,1.43884550502,0.777734375,0.777734375,4755
2394,0.0002920199349059999,0.692391938771,1.43254746175,3.94597184868,9473.87541221,2.9633349259099995,2.23688411418,0.77734375,0.77734375,2395
4029,0.00029219771063700005,0.7018992807529999,0.8373003404680001,3.90821276174,10439.2969675,2.86506432455,1.90213858573,0.77734375,0.77734375,4030
1340,0.00029229868019099996,0.689627558553,0.954226950784,4.02812659905,10901.122793999999,2.82641989467,1.84059260006,0.77734375,0.77734375,1341
1794,0.000291542141852,0.6927316990539999,1.42171932486,3.94529087226,9491.32933161,2.96009337379,2.23476727556,0.777083333333,0.777083333333,1795
890,0.000295783169769,0.673506804799,45.397671213900004,4.8888695559199995,21665.279969799998,2.88821181755,0.36786340859300004,0.776953125,0.776953125,891
3128,0.00029839946871700003,0.702243464604,0.41217437868699996,3.92526643755,10443.5080788,2.9560806831,1.9898876623599997,0.776953125,0.776953125,3129
3340,0.00029314244145200004,0.7033805594410001,0.203325435253,3.8931568857,10490.724283,2.8781916832700003,1.8776872381099998,0.776302083333,0.776302083333,3341
4057,0.000280658922728,0.688932947741,0.928787950765,3.9285845889899997,10871.9094884,2.8600157419200003,1.8597968246,0.776171875,0.776171875,4058
1389,0.000314444146478,0.658307494038,62.7184832008,6.19382692776,11353.7406235,4.53673660375,1.73720941197,0.776041666667,0.776041666667,1390
4216,0.00028414528065400006,0.690523564867,0.7306833093189999,3.9297070112599997,10481.8799174,2.93154492843,1.95952805215,0.7755208333329999,0.7755208333329999,4217
3996,0.000291473324263,0.702568683332,0.493954449822,3.90695403935,10545.108735400001,2.86493964738,1.87336836523,0.775,0.775,3997
2825,0.00029270496770200004,0.689600624126,0.313160592513,3.96792125116,10390.556740799999,2.97856863985,2.00649930663,0.774739583333,0.774739583333,2826
2883,0.000292225130172,0.692594336531,1.3800067084999998,3.9500584017400002,9462.44235703,2.9611476739099998,2.22951836552,0.774348958333,0.774348958333,2884
4303,0.000292138124058,0.702717128074,0.7800311146529999,3.905016742,10524.7107082,2.85646017746,1.8721741863999999,0.774088541667,0.774088541667,4304
3244,0.00028558331260000004,0.6903084007320001,0.648584453756,3.93500150166,10308.2596157,2.99320635911,2.0086904833,0.774088541667,0.774088541667,3245
2897,0.000290651651135,0.606772262916,0.33782353408200005,5.053749102719999,21893.987638799998,2.21701532616,0.795696706956,0.773177083333,0.773177083333,2898
3705,0.000323326657428,0.684625776709,0.238726787154,3.618165728,11009.156709899999,3.2349717364,1.9038492050599998,0.7729166666670001,0.7729166666670001,3706
2675,0.000291333861125,0.731743383294,0.381617905026,3.63147914439,9691.39727023,2.92340725289,1.9447226861400002,0.77265625,0.77265625,2676
1583,0.000282911895632,0.690717687259,0.8007500619419999,3.9257879422300004,10633.098036700001,2.8779088455799995,1.91670771317,0.772526041667,0.772526041667,1584
2104,0.00028833056414,0.689887747208,0.490613872028,3.94452345261,9973.92915916,3.1117963682800003,2.10328563653,0.772395833333,0.772395833333,2105
1482,0.000292079826097,0.6909765460430001,0.383117140268,3.9950066752999995,10926.944251,2.8314726917699997,1.83732715366,0.772395833333,0.772395833333,1483
4645,0.000292184605519,0.7027213896410001,0.782799328491,3.90490677773,10524.6853467,2.8564102887800003,1.87266039694,0.772395833333,0.772395833333,4646
