,currentTrial,fitnessScore,probabilityOfReturningToNest,probabilityOfSwitchingToSearching,rateOfInformedSearchDecay,rateOfLayingPheromone,rateOfPheromoneDecay,rateOfSiteFidelity,uninformedSearchVariation
0,339,0.7375,0.00015557424394,0.269269120446,148.276801694,4.45584856198,17939.0719958,4.22456175887,3.46700212709
1,514,0.75546875,0.000143706500967,0.832273686166,19.5976353648,4.68825429264,21261.163242,1.91788084383,0.286055668923
2,15,0.73359375,3.54640426712e-10,0.407123540942,56.2254054857,7.9127069356,4224.45333064,1.02632022072,3.66078579008
3,703,0.729296875,5.70997735928e-07,0.273038729519,89.1845935894,5.32903181012e-06,13592.5045875,12.1839298228,2.13427940124
4,878,0.75,1.96703433111e-05,0.438044612515,73.2118006246,2.34615388998,10789.0799693,4.06657988518,0.471647925427
5,471,0.734375,3.10557413168e-06,0.999778093696,83.9637225444,0.00170565235762,3716.05554915,15.1037917605,5.2869478209
6,263,0.740625,1.5028579663e-05,0.659331009678,148.403668327,14.9738221929,12912.7697171,0.00339114502748,1.69465343098
7,100,0.732421875,0.000911079844192,0.15959154537,118.596116956,3.11081650564,16905.9562354,13.5060604653,5.20620773377
8,300,0.743359375,1.06069051526e-08,0.74383883601,33.6764727624,6.4575899096,17998.6792712,1.06884632416,7.834852803
9,261,0.74375,0.000120347130701,0.520249946035,122.355103789,14.5826704916,9690.81347471,0.967905693289,0.382228373208
10,575,0.7703125,0.000240450817187,0.313219394344,146.49491062,1.52814914478,17150.444094,5.53678058644,0.830610420398
11,365,0.727734375,1.11840498814e-06,0.616459085006,134.225084851,17.6433048072,11466.9819474,1.99338638488e-05,5.57245803115
12,211,0.72734375,0.00153778093607,0.791525689419,138.96427951,4.28406466092,13810.0468899,2.77018587247,4.39808442556
13,563,0.730859375,0.000272846502887,0.795376845499,0.247171310425,1.64683522473,19492.0980202,5.2815855476,2.7119427142
14,76,0.728515625,0.00154524448605,0.597547482025,142.133280814,8.91042072132,15519.7562967,3.5444458332,1.75312958366
15,374,0.7328125,0.000517535414571,0.345538182939,109.93656415,1.08311623379,12766.1497254,11.7018073862,1.3807749851
16,599,0.730078125,4.44793824794e-07,0.315381212459,18.8175597685,9.03510051658,10972.3695697,3.98649907954e-06,6.30228453215
17,770,0.728125,4.60466421565e-11,0.425704637241,83.6441519427,14.9179473065,9378.71137621,1.17345116635e-07,4.01110562009
18,613,0.72890625,0.0015431745821,0.761422734032,111.74602668,0.634024639944,11658.3957625,15.7063876918,0.269884932182
19,217,0.72890625,0.00178780183766,0.744342189118,127.35276323,15.5588020614,19644.6137201,1.90055886285,2.1859362767
20,571,0.75234375,9.48688096085e-09,0.635920433241,35.5633003419,0.00170510866938,18080.2733338,17.5091318496,0.22873001852
21,767,0.727734375,0.00077073161924,0.872115435312,78.1930560599,1.20856643167,17577.2029455,19.9288560238,4.72876169918
22,799,0.751171875,0.00087205352256,0.342285294519,125.31888184,13.6897296096,15840.9596632,0.712319392023,1.00207605655
23,606,0.742578125,1.23886788678e-05,0.869675201662,26.3815925941,0.00914784952991,9786.06769056,19.1861786944,0.457389767322
24,385,0.737890625,0.00206294036634,0.79743649382,65.2778491507,0.720099004464,20576.9852928,11.1906125624,0.0310970585723
25,580,0.73203125,3.09095949411e-06,0.999653138381,107.329460099,0.000275437579417,18389.5307481,18.3881120449,4.5148777039
26,231,0.765625,0.00103689773957,0.576276736576,136.635012177,3.13398881617,6490.82092593,4.95603253528,3.1090149858
27,190,0.745703125,5.84612088665e-07,0.649921135206,89.7594592566,19.9994480888,6880.90390012,4.40865407315e-05,5.46591994135
28,341,0.73515625,8.82705192289e-05,0.523498009163,107.58047338,1.62916339651,5440.16868571,17.9455034984,1.86313098828
29,792,0.728125,0.0014990261684,0.334986706504,89.3550408859,2.09929830522,12160.6965674,2.55794489244,5.92631875175
30,591,0.73984375,1.0873670628e-05,0.662802127142,1.03548357972,5.52151962212,17540.6837919,2.38091832398,5.55536627383
31,432,0.73125,2.70197417414e-06,0.693303233215,148.404464556,2.34705564789,11923.5184332,17.735452957,0.00353336330927
32,340,0.758984375,0.000198227476069,0.363573510771,141.752654323,2.62175517368,4908.57838756,0.622290118006,0.0836716353939
33,142,0.749609375,0.00132939507389,0.934995540129,109.838465321,0.806636563665,16731.6809919,7.650313228,2.55741225043
34,829,0.7640625,0.000346696964373,0.549494246521,142.428935905,5.42106918052,77.2631882172,1.80009295401,2.51177492034
35,356,0.734765625,0.000776885891875,0.100866570071,0.970617724833,1.758314094,6224.3965667,12.5399530587,4.08232588066
36,544,0.72890625,1.28335200409e-05,0.5864944664,99.4194702159,16.047620652,14350.9579168,0.00899300671566,5.91551937985
37,237,0.73984375,0.000925382471725,0.372747757591,81.8845928605,2.63946118962,3885.32982407,10.0001286706,0.934496031211
38,872,0.726953125,2.13233628283e-07,0.760008541753,5.13598214811,17.8594682946,70.121024416,0.000780752956452,5.73926038786
39,133,0.739453125,0.00138186304463,0.281777603758,47.5863337075,2.68627644401,15500.0129488,0.110717405096,2.04434313968
40,469,0.736328125,8.63604516928e-12,0.549461522173,90.8993600269,15.4524872921,10767.8427083,8.64477440688e-07,4.9616374115
41,482,0.72890625,8.9607800261e-08,0.871189292686,0.592237063786,13.11936296,22009.7016279,0.000139707053064,10.6315576867
42,722,0.741796875,0.000184762036786,0.976869251401,114.811319212,13.4468123325,20624.1194645,2.88917709661,6.31499543689
43,246,0.7296875,0.000997219987728,0.44098950876,126.704411734,16.9199759438,4910.01390327,0.19277557246,2.73927720503
44,656,0.732421875,0.0018720311412,0.94664374367,124.30867803,3.07020430059,19702.4912122,0.982998124309,1.19527879155
45,727,0.740625,0.00139369507649,0.245964440073,116.852708692,19.5446724793,14050.633511,0.0334875024756,4.95406363032
46,531,0.758984375,2.10652563297e-09,0.603444080676,129.658870744,1.69059145914,946.944011839,9.51231378761,1.02410538705
47,296,0.755859375,1.33867096884e-07,0.744718451942,33.5121610839,6.43525899046,17990.5384968,1.03634764783,7.84878192623
48,917,0.733203125,2.19481152244e-09,0.247317781518,39.8546513012,7.66934576572,9103.82327741,0.00190374160475,4.99844785321
49,888,0.746484375,0.000789637761788,0.521275611907,5.23639084849,2.59575720144,183.430182184,14.2628562178,0.0156977817629
