,currentTrial,fitnessScore,probabilityOfReturningToNest,probabilityOfSwitchingToSearching,rateOfInformedSearchDecay,rateOfLayingPheromone,rateOfSiteFidelity,uninformedSearchVariation
0,57,0.7390625,0.000368447885154,0.575400152046,115.99965881,2.61070747031,3.05258101826,4.0588737819
1,923,0.740885416667,2.65891813332e-05,0.786280891212,1.28053436406,2.11580841982,8.51844229208,1.89620928782
2,909,0.733203125,4.79116634692e-05,0.78468262058,8.23536390387,3.75719700876,1.66493333927,3.78589450174
3,83,0.731380208333,0.000284792703128,0.558483890401,87.6189610325,2.39775410161,4.14746816427,3.11485686143
4,50,0.737239583333,0.000412934322304,0.543378157053,101.758464987,2.91017938802,3.39746899096,3.16869088279
5,79,0.74296875,0.000383760600254,0.564560834089,134.163754514,2.37822419835,8.38173096615,4.03264514461
6,886,0.733203125,0.000531391726768,0.300653774836,8.91357121255,2.50185032844,9.46246863535,5.75662964749
7,104,0.741145833333,0.000427399173314,0.539894728477,144.483967431,4.93040964678,3.83112180182,2.56773305402
8,851,0.759635416667,0.00033933663425,0.450839393144,128.547649249,5.46925063525,1.5807899169,4.52487146566
9,462,0.729296875,0.000248236147704,0.357151181652,114.764416428,4.27019058158,0.310286179869,4.25973194216
10,476,0.734114583333,0.000342315899622,0.561767234519,101.082654627,3.99638785759,7.59807213178,3.87740435636
11,311,0.732942708333,0.000187607763497,0.414198195927,31.5847738446,5.22185920059,3.09122371164,4.40328056255
12,148,0.757682291667,0.000281972594527,0.559105441427,45.1153214549,3.63222731943,9.54565179629,3.55793162584
13,558,0.732291666667,0.000118178883717,0.365769283416,26.3026977759,7.54213619317,2.70006013174,0.277553545468
14,175,0.738802083333,0.000286220852051,0.761342004095,84.9086712544,1.94327295471,6.2154275023,3.82307644107
15,161,0.739322916667,0.000256681131206,0.554372997912,15.430933864,3.13623736323,9.39320786019,3.55261128382
16,411,0.744010416667,0.000409117728499,0.462280642818,138.236727462,4.48703012596,3.76782858094,4.76935951594
17,163,0.735026041667,0.000336706039456,0.435779024352,0.211933346858,4.78043519098,3.81897139443,3.18243033761
18,201,0.738151041667,0.000264881436402,0.32116284783,0.515256199489,2.0009592127,3.97908481508,4.81962253516
19,215,0.73359375,0.000328838484948,0.454639440399,130.559111701,4.29887054218,3.29807329854,4.22093510832
20,572,0.728515625,0.00014296047337,0.71981786244,90.0899510011,1.3789095827,3.86903696719,3.89241834869
21,615,0.728645833333,0.000369741953497,0.54051224127,140.967718818,1.92593185143,4.21449918544,2.79501140895
22,814,0.7328125,0.000323625230438,0.510283292022,147.258363032,0.840770304732,4.55068609869,6.55415299036
23,236,0.730598958333,0.00011112260957,0.789840181438,2.43736368103,2.28507977468,8.74499296212,5.74011692884
24,626,0.735677083333,0.000493376945342,0.50802840687,93.0652570721,2.63325726172,3.97812967722,3.6421602733
25,168,0.729947916667,0.000394640234274,0.75316860533,64.6424818941,0.819967528819,4.60561923782,6.14279276478
26,381,0.732161458333,0.000142409892805,0.722671634836,14.1358567698,3.95129487117,1.52138720623,5.27989427055
27,624,0.730989583333,0.00101877755769,0.38921991985,2.73574719083,3.17861849287,2.49120372449,5.27288037781
28,750,0.734895833333,0.000190791634487,0.374009174614,12.9066985008,4.70324727599,2.90612668205,0.868311453698
29,341,0.772395833333,0.000209220216903,0.442560904403,117.065655403,4.32484369048,3.29219480613,3.10351308088
30,351,0.7421875,0.000401339959626,0.469438383172,119.965550594,5.09822124068,2.67703776175,4.62426216605
31,225,0.731640625,0.000367263673853,0.319697027768,45.984988026,2.69949341783,4.24638929783,4.86238179636
32,352,0.744921875,0.000295431535835,0.471494409869,130.379507514,5.40380081495,2.62440552475,3.27207981812
33,569,0.732421875,3.99253678099e-05,0.794662753491,126.133041094,2.4235614055,2.5097954043,5.51751302924
34,964,0.728255208333,0.000152318993998,0.424619509789,30.4358898805,4.19526468742,3.55107781426,5.29529976249
35,145,0.737239583333,9.06736985724e-05,0.759936949889,134.702759009,3.70312865621,3.3661713344,3.74615925263
36,804,0.7328125,0.000162906569272,0.396366183536,35.6859914773,5.66440024843,1.71941862777,0.728334838545
37,421,0.733463541667,0.000214865172813,0.378133146645,1.20533927743,1.14389458825,3.18482360876,5.62262505925
38,718,0.740234375,0.000175254702947,0.405247554278,7.91739071313,1.64193441042,4.45755566357,2.36906671381
39,255,0.73203125,2.52797850541e-05,0.776770257982,3.02391829211,1.49821428496,8.9896890557,4.73676654569
40,530,0.738802083333,4.81273433331e-05,0.741876785528,72.0620596684,3.88766464075,2.04292705549,5.06615592972
41,440,0.731901041667,0.00039704130442,0.484287768805,28.2616372593,1.53082663777,8.23742428535,4.69261584585
42,65,0.732942708333,0.000273413499696,0.563297376025,125.921704529,4.01317755275,2.64824393327,4.55821409261
43,722,0.73984375,0.000576843840133,0.305342767947,89.551576383,2.54568044138,8.88345833917,0.471396214595
44,680,0.775911458333,6.39819290049e-05,0.774707966399,0.917383407269,1.61169170986,8.62956967241,1.74141877504
45,441,0.729036458333,1.65176079725e-05,0.575908065884,40.8145039911,3.13803387376,3.01170440644,4.18032113185
46,333,0.736067708333,0.000324944881024,0.597507997581,129.761781833,3.23285537592,3.61359752158,2.86733564739
47,696,0.740885416667,0.000158022420872,0.786496146506,145.964818045,2.1161879796,8.45735372695,1.00370372825
48,127,0.741276041667,4.08738942048e-05,0.764205806985,0.740577235126,2.10826872939,4.15654936894,3.57229441116
49,523,0.744921875,1.61998155425e-05,0.580067597015,137.334987055,8.10599644503,1.58589212688,3.17276068172
